clean_content,sentimen
sen makan nyampe nya udah gitu driver nya ribet,negatif
aduh sen gofood delay berkalikali sdh ongkir yg express,negatif
pesan sesuai stok,negatif
nunggu gofood jam emang pakai ekonomis tibatiba batal nggak respect konsumen,negatif
mantap,positif
ok,positif
bagus teman,positif
sgt ramah disiplin,positif
tolong tingkat kurang harga rumah tuju makan dll aplikasi thank you mana tempat tuju gak gopay uang digital uang cash murah thank you,positif
mntap,positif
driver gocar yg ga ramah driver gojek yg suka cancel sembarang go food nya,negatif
good,positif
order gofood nya cepet pake yg ekonomis,positif
parah food nya nunggu ujung cancel,negatif
cepat,positif
bantu,positif
tingkat layan nya biar mantap lagi,positif
batal mesan susahbaru cek tuju hargatau muncul driver titik jemput,negatif
gimana si ni aplikasi sen driver nelpon tolong baik kasi driver,netral
pesan jam yg pick up berkalikali coba pakai pilih tarif yg ga murah ga diskon normal cuman senayan mampang d maps ngumpul ojol busway nunggu jam kecewa sumpah kecewa emosi gajelas terus tawar harga,negatif
ngaco sistem gojek mentang mentang pakai autobid kasih order food jarak resto kilo promo aja jek jek driver lu bikin sengsara pakai autobid kasih yg busuk busuk argonya naikin argo dapat driver jgn untung doang,negatif
driver nya,positif
ramah bintang,negatif
gojek payah klu lg hujan ngacoo gak sat set,negatif
eh konsumen tolol kl sen gocar harga ribu lu sen aja taksi bluebird,negatif
g sistem bayar via dana trus trus temenku yng suka cancel gojek yng sen gara drivernya cogan orang kek gin tolong blacklist g sih kasi driver nya kena cancel,positif
pas mantab,positif
hebat,positif
nyoz,positif
fitur sharing trip nya gada,negatif
cari driver kalah grab kalo ujan ughhh mnt menit jga gak dapet,negatif
so helpfull,positif
please in the bag cases under gopay,positif
yaman sellalluu,positif
update aneh geser gak gilir uda deket resto cancel,negatif
ok,positif
guna gojek aktif mana gojek terima kasih,positif
baik aplikasi ojek belah,positif
ok,positif
penuh fitur manfaat suka cs cepat tanggap kalo,positif
asli gw uninstall nih apk klo hujan susah bener dpt driver gw download indriver langsung masuk deket bego gw dah bayar mahal nunggu sorry ye brengsek,negatif
gabisa tingkatin yaa aplikasinyaa udh nunggu jammm gaada nerima order cuman karna ujannnnnnnn gimnaaaaas pulang kalo gaada nerima orderannnnnn,negatif
jelek banget jalan,negatif
nyari driver jam banget pulang batre sisa,netral
terima kasih mudah jalan jakarta driver ramah ramah harga terjangaku aman bagus mobil bersih,positif
aps edit detail sen sndiri gjls banget gitu mulu gojek,negatif
bantu saat kendara rumah,positif
manfaat tingkat layan lupa promo goride terima kasih,positif
gajelas bangst driver yg deket ga dapet sampe batre tetep aja gada yg ambil anj,negatif
kelen,positif
kasih bintang rendah karna batal pesan driver driver pemberitahuan aplikasi,negatif
mantab bbbbbbbb,positif
tolong dibenerin sy posisi dekat gojek yg kumpul sy lihat stand by pilih gojek yg jarak kilo dr batalin kasihan gojek kalo nggak dibatalin ngabisin tolong cek aplikasi jadi x kalo kayak gin langgan pindah aplikasi yg cepat pick up order,negatif
zidan ali anak siti mutmainah rumah siti mutmainah diawasin mrcuang beneran asli,positif
pesan cancel,negatif
sgt bantu,positif
mantap,positif
mantul,positif
kolom catat masuk resto masuk driver sebab miss komunikasi langgan yg request makan kolom masuk driver driver resto terkadang makan langsung langgan faham mohon rubah ya,netral
belanda anjeng lintah darat ongkir mahal x lipat harga makan,negatif
senang aplikasi,positif
mantap memuaska smoga depan gojek smakin,positif
aplikasi bantu terima kasih,positif
gajelas apl anjg gw udh isi saldo sampe x ngepas in ongkos like how tf,negatif
gojek eror kaaaahhh parrah bangett,netral
langgan gojek plus trus tpi mlah tipis diskon akun yg ga dipake promonya mending ga langgan ya,netral
bagus,positif
bagus banyakin diskon lgi ya min,positif
bantu,positif
ok,positif
good banyakin promonya ya,positif
thank you gojek nemenin pas gak kendara dapet diskon udah kendara udah gak pake gojek but still thank youuuu,positif
tolong ya titik go food yg akurat sy udah masuk titik rumah gang toko pas dateng beda gang sebrang,netral
mantap kali,positif
bantu,positif
antap,positif
mahal banget udah langgan gojek plus sy pke aplikasi udah jg pke aplikasi inimending sy pindah apk belah murah,negatif
ok,positif
keren,positif
knp gk pakai bayar,positif
keren,positif
better apk belah sih food voucher gaada rulesnya buka ga lemottt langsung dapet driver drivernya ramah baik deh nih sistem,netral
kali kecewa layan gojek dapet dapet driver nunggu driver nya isi bensin kalo isi bensin nya cancel aja bilang driver nya nyuruh nunggu udah tunggu posisi buru bilang aga cepet aga ngebut driver nya udah isi bensin sampe titik lokasi lambat layan kena cancel driver,negatif
gojek bagus,positif
kadang ga dapet diskon diskon kecill,positif
ok,positif
driver lokasi jemput,negatif
tolong sy komplain cs tarif tol yg driver kpd sy app sy tol sy kirim keluh bantu cs tp respon lelet sy tdk bs app sbelum bayar tagih tol tol sy paksa tagih utk bayar fraud nama tolong cs baik sistem tagih customer serta bill bukti spy claim jgn sy yg rugi,negatif
pesan gofood kalo nunggu gak cancel gak mikir penting langgan kalo live chat mesin yg gak solusi dg gojek yg batal yg parah nunggu jam gojek yg batalin mohon baik outlet tutup pemberitahuan gojek ato kunjung driver jam penting langgan gak nunggu gojek dtng,negatif
mantap,positif
gofoodnya kasih promo ya,positif
goodjob,positif
diskon ongkir pas co aja hoax,negatif
bantu suka diskon jg,positif
senang,positif
ongkos kirim mahal coeg test pesan makan jarak cuman km ongkirnya mending pesan pake grab murah,positif
daerah bandar lampung rute maps rute jauh biaya belok yg belokanputar arah jauh kmtarif selisih rb butuh foto rute kirim email cs gojek nihil menu bantu kait maps,negatif
nyaman,positif
bantu,positif
jos,positif
kasih promo,positif
banyakin promo yaa ni b,positif
mudah transportasi,positif
ok,positif
bintang bicara,positif
alam iklan,positif
ui lo jlek bngt jing history proceed order naro pojok tolol,negatif
ok,positif
ok,positif
toppp markotopp,positif
ga terima banget selesai gofoodnya kali pesan gofood ga lengkap gojek coba bantu cs disuru foto lgi foto pesan bukti struk udb dilakuin no respoooooon chta no respooon besok lapor selesai foto palalu untung si resto hub no nota untung si gojek hub ambil cs no respon foto drivee gamau tau resto gabisa hub eek,negatif
cepat ongkos jangkau,positif
keren bantu good ji ob gojek,positif
bantu jalan aktivitas,positif
gilak sen makan jam setgh nunggu sampe dingin gila tunggu gak aja mending grab menit,negatif
ok,positif
ongkir mahal gada otak kalean si nadiem tangkap kpk,negatif
kesini order makan gojek gara gonta ganti driverjadi makan dingin terimawaktu driver gonta ganti driver alas jarak driver resto keresto cancel sistem kalo gojek tinggal langgan nyakcuali manfaat promo mesan gojek,negatif
ok tahan,positif
udah order gofood nunggu jam batalin order jam ga banget mentang mentang pakai voucher diskon layan nya ga bagus,negatif
fitur adu ngaduin tingkah drivernya susah,negatif
top,positif
bertanggungjawab yg baik langgan,positif
bantu,positif
gajelas driver cancel ajaa,negatif
abang gojek nya ramah,positif
gojek bantu,positif
knp layan utk beli paket kuota n pls gak sedia dr kmren,netral
mantappp,positif
ok,positif
gabisa kirim ulas makan ga opsi send ulas,negatif
ramah,positif
kali gw sulit batal tiket krl gk gw pake tolong muncul biar customer gk rugi,negatif
alhamdulillah bantu,positif
batal pesan jasa toko tutup,negatif
kapok sen makan pakai aplikasi gojekganti ganti driver terusnunggu jam yg ambilpenasaran driver ya sen makan gak dapet dapet driverterus driver maaf kakongkirnya kondisi gerimisdan lokasi antar dalem apartemenedaaaanpadahal bayar ongkirnya rb,negatif
pesan burger king tdk antar thanks gojek,positif
heran aplikasi gojekpotongan nya gilaanbayar ribu yg trima driver,negatif
gofood parah banget sih order jam set smpe jam bom dpt driver udah dr cancel x gilaak ssih ambil express byr extra hasil yg zoonk,netral
apasih g suka bngt ngubah alamat orang,negatif
aplikasi guna bantu konsumen makan favorit,positif
keren,positif
mantap,positif
keren habis pokok,positif
same day nya parah pesan gantung driver,negatif
ngebantu jalan ank kost,positif
senang jalan gojek,positif
bobrok bngett ya gojek daerah cianjurr udah mah susah dpet driver nya dpet cncel niat kerja gak jing kaliii ppek,negatif
ok,positif
ga bayang ga gojek hidup,positif
nice,positif
alamat titik lokasi nggak pas banget suka salah kadang males pake kadang butuh kalo ken tolong min baik,netral
dapatt driver tampan hehe cinta gojek,positif
aplikasi bagus,positif
mantap,positif
cancel mulu sebel,negatif
halooo gojekhrs lapor kmn niih gopaylater blokir tinjau krn alas telat bayarrwew umur kagak telat niih,positif
ok dah,positif
dapet driver,negatif
layan nya oke mobil nya bersih bagus,positif
mantap,positif
cs ga,negatif
ngakaksemua makan extra mahal maruk banget,negatif
bantu,positif
sat set,positif
banyak promo utk food mania,positif
ngebantu bangettt,positif
nice,positif
semangat gojek,positif
harga ojek sm mobil beda dih gitu yg gak bs akses,netral
murah riah,positif
makan antar driver marah lihat notifikasi notif aplikasi muncul hp maaf tip marah nyaman,negatif
mantap,positif
mantap,positif
woke,positif
opsi pemabatalan salah pesan makan,negatif
bagus aj gitu gw,netral
orang orang ramah,negatif
jossdd,positif
mantab,positif
gojek sat set cepat,positif
z cs sde btas,positif
sedia fitur bintang costumer dung kak byk driver yg ksh bintang rendah costumer tp rating bintang utk driver jd ga adil dunk driver doank bs liat score bintang tp ga bs liat score bintang please ya kak,positif
potong mitra kaga bohong driver dapet cuman customer bayar ongkir k usaha zolim,negatif
cepat ga tele tele,positif
duit sedot game gk mainin game kecewa ilang ratus ribu,negatif
bagus mudah cepat,positif
aplikasi masalah kondisi cuaca mendung hujan,negatif
puas cari titik jemput ketik alamat sesuai muncul sesuai titik jemput payah payah,negatif
kren,positif
mahal ongkir biaya tangan,negatif
parah banget nih gojekbuang aja sen gosend cancel mulu ama drivernya sampe rugi rugi materi,negatif
very good,positif
so far so good nyaman gojek oiya min tolong naikin gaji karyawannya udah nemenin nang takut mas nya kaget ngeliat tibatiba nang,positif
gimana sebenernya nyari halaman chat cs yg gk pake chat cepat gaada kasih aja tagih google play bayar gagal gak bayar google play cek riwayat transaksi langgan dll google play gaada transaksi segitu aneh aja kalo bukti kirim aja contact aja yg kirim gambar,negatif
ok sih,positif
guna bg nusa bangsa,positif
mantap ui nya seger mata,positif
gojek aman drivernya,positif
apikk aee,positif
mana gojek go car,positif
gojek joss,positif
ga ngerti fungsi beli langgan gojek plus tuh voucher gabisa pake potong nya dikit eror kalo klaim nyesel langgan ga manfaat aja kaya reguler,negatif
sen makan banget cuman nasi pecel nya kirim molor sampek jam,negatif
good luck,positif
aduuh gmn gopinjamnya limit gak muncul angsur yg lunas bayar gak lambat gak sedia,negatif
aplikasi to the point penawaranmisal buru ceck in beli tiket krl go transitsetelah klik beli muncul tawar pesan tiket transportasi stasiun pdahal keburu tinggal krl tinggal tap tiket posisi stasiun lambat layan saldo gopay muncul lengkap beranda utamahanya angka digit itunjuga praktis buru bayar tiket transportsaldo,netral
juara banget,positif
manteb gojek sukses muas langgan moga kembang ni aplikasi berat ui,positif
kesel banget orang buru buru kasih driver jauhhhhhh,negatif
layan mudah sarana mana,positif
coba kalo cancel driver kasih driver yg nya cape nunggu driver trs,negatif
mantap drivernya ramah,positif
aplikasi bantu,positif
gojek mumet,negatif
gofood mahal biaya gak kayak grabfood,negatif
bagus,positif
bagus,positif
habis updet gak masuk akunkode otp salah mulupadahal masuk kode kirim apk nya,negatif
tolong tambah fitur pilih jalurjalan gojek sekolah rumah tuh jalan rumah sekolah tuh jalan nya beda ongkos nya mahalpadahal jalan lewat mending fitur pilih jalan mana pakai sistem tarik jalur jari jari narik titik tuju lewat jalan dimaps nya sistem ongkos nya berapa,netral
order sate ratu jakal jogja lewat driver nya kena suspen order yg dipack bumbu sambal kosong driver yg kena aneh,positif
bagus nyaman,positif
muas,negatif
bantu,positif
ongkir mahal pesan go food gojek jarak mentok jam kadang skipppp pindah apk belah,negatif
suka banget aplikasi gojek jemput,positif
gopay lindung saldo nasabah kecewa,negatif
akurat tentu lokasi otomatis bingung pesan gofood titik antar nyasar banget pesan jakarta timur titik aplikasi jakarta pusat rugi driver konsumen makan keluar uang rb serta ongkir uang,negatif
moga rating bintang driver yg sengaja abai penumpangdriver ambil order penumpangalasannya cape makan apalahdriver pilih tumpang tp pilih driverdriver mohon bintang tp tau driver bintang penumpangtidak kasoh tips bintang bintang tumpang rute singkatmuter bintang,negatif
buruk,negatif
josss mantap,positif
good,positif
gk buka aplikasi gojek,negatif
baik,positif
layan jelek driver kadang sengaja jarak deket gk sesuai estimasi pesan makanangk tindak gojek ganti grab aja,negatif
simple,positif
manfaat orang malas,positif
gopay,positif
keren,positif
kali order makan driver sibuk maksud driver,netral
sistem gojek paksa rugi paksa jalanin order jarak tarif hina terusterusan km ancam akun bikin anyep sulit order nolakcancel biadab banget,negatif
driver gojek kasih tau tolong ya langgan gojek pesan makan makan lengkap salah driverkarena driver masak packing makan driver gojek bongkar satu makan dipacking lengkap murni salah resto resto asalasalan driver kena akibat terimakasih kerjasamanya,positif
good job,positif
mantaaap,positif
kalo isi pulsa pulsa nya sedia,negatif
gabisa top up pulsa gimana sih tulis sedia,negatif
parah kasih voucher pakai akun banned gak gak kolom voucher anggap curang parah,negatif
jelek,negatif
system error nunggu makan jam batal aplikasi alas system error,negatif
gojek bikin telat stasiun cancel x apk beda liat maps orang stuck situ aja tlp angkat cht bales nama subahri nopol agre tolong ya tinggal kreta,negatif
barusan pesan makan gofood sy pesan reguler double order aplikasi biaya antar k mslhnya yg masuk driver antar antar satu total pesan k gak tau orang yg dasar harap aplikasi pihak driver lihat cust promo cust tolong untk driver jngn potong biaya antar,negatif
nungguin gofood sampe laper banget mas blum dpet driver,negatif
senang,positif
bantu,positif
minimal ain fitur yg ngasih tau driver nya sibuk nggak nya gua mesan gofood kena cancel mulu udah nungguin dicancel pesan alas nya driver sibuk nya fitur yg ngasih tau kalo driver sibuk,negatif
oke gin mesan yg bgt jam coba sen tp tanggap coba nenek nenek tolong nunggu bgt tetep ga untung apk belah ga ga pulang udah complain ga tanggepin oke admin nya sibuk tolong kasih solusi suruh nunggu doang jam driver terima pesan bro liat lg pinggir jalan duduk tuhan,negatif
bal denpasar utara susah nyari driver masak go food udah nunggu jam gak dapet driver tolong dah gojek filter aja drivernya banyak nyari offline,netral
mantap,positif
aman kendali,positif
mahal banget apk belah cuman ribu ribu buset baik tarif,negatif
masuk akun gabisa padahla nomer email dah daftar ttep aja gabisa tulis ups salah mulu gimana ni min,positif
good,positif
great,positif
guna,positif
wow aplikasi bagus,positif
bagus,positif
konfirmasi outlet driver yg pick order posisi kota bontang,negatif
bagusmemuaskanterima kasih,positif
ok,positif
layan bagus alamat tuju lengkap aplikasi alamat tuju,positif
layan ramah,positif
terimakasih cs cepat merespon keluh,positif
mantaf servicenya,positif
kakmau bayar pay later gmn,positif
apk aneh minjam gopay pinjem gak telat bayar eh gilir ngajuin mala tolak gak ngasih limit tolak,negatif
customer service guna selesai,negatif
nice,positif
transportasi sih oke but food noway mahal banding yg,positif
bagus kurang,positif
good,positif
aplikasi jelek udah pesan telat telat mulu heran aplikasi,negatif
tolong argo driver disesuaikanjangan makan aplikasi mulukasian driver argo masuk driver udah kaya rentenir gojek,positif
bantu jalan,positif
ok,positif
tolong hp kena bug telfon dr driver yg liat nyambung pdhl udh putus notifnya betah bgt hp tulis a call is on progress you can only pas pencet gamau kemanamana ngaruh volume yg default pas tkn volume yg turun volume panggil doang gak menu nada dering telepon dll emg atur atur ribet kerasin volume hrs atur,negatif
bagus,positif
mantap gampang mana gampang cari makan jajan gampang nganter paket jd gampang,positif
fitur chat ilang komunikasi nya gimana,negatif
cs gercep,positif
boss,positif
chat cs chat udah tutup aja chatnya tolol udah langgan plus eh voucher potong yg gk gk langgan plus gk potong ongkir bener ilang pakai plus potong sen makan ilang gk voucher promo potong ya aja bohong plus ngilangin ongkir gk dapet promo mending gk langgan dapet promo potong,negatif
praktis,positif
good,positif
nice,positif
mantap,positif
hapus aja limit paylater jugaga,negatif
l app mamam apaaaa makan resto udh ketik menu knp gak muncul menu ajaaa not helping at all grab noh langsung suggestions to menu,negatif
mantaplokasi lari,positif
bantu,positif
sekali erorr sebal muak,positif
aplikasi mudah,positif
batal pesan yg gak sengaja salah pesan,negatif
saran berlakukankalau customer nya wanita kasih driver wanita customer nya pria kasih driver pria biar cancel driver nya teriak marah marah rugi dll bikin malu ladenin,negatif
oke,positif
mantap,positif
fix gw ga bkl pinjem gopinjaman lg ga bkl pakai aplikasi gojek telat dilunasin udh ga pinjem lg males pdhl kali ajuin gopinjam,negatif
dah lunasin pinjam aju tolak min,negatif
oke,positif
promosi mulu makan obat spam mulu,netral
bantu moga gojek jaya manfaat orang,positif
gojek bantu,positif
ok,positif
bagus banget poko kalo mesen makan suka pakai gojek kalo abis pulang sekolah nggak aplikasi gojek deh,positif
mantap promo nya,positif
saldo potong gara sambungin tiktok,negatif
mantap,positif
aneh fitur gosend instan tokopedia ko driver bawa paket prioritas kirim,negatif
hilang slottt,negatif
tolong klk ngasih order ambil tercancel sistem alas dekat resto jalan resto resto x aja tolong baik sistem nya,negatif
apknya bagus tp tolong donk dj banyakin promonya,positif
ok,positif
top markotop,positif
apk gojek skrng salah order ga cancel awal dahal makan disiapin kaya kasih detik jirrr orang revisi order ga sengaja pencet,negatif
aplikasi bantu,positif
percaya amantepat,positif
bagus interaktif,positif
mudah tranportasi,positif
bagus,positif
aneh pembyan bagus gopltr block turunin limit gopjm ga bs dipake customer loyal maintance dgn,positif
nyaman mantap,positif
aplikasi guna,positif
bagus layan nya ok maaf thanks bgt,positif
bantu,positif
bagus banget,positif
gopay later gak alas bayar lancar gak minat aplikasi,negatif
bantu anak rantau wkwkwk,positif
kenapasya daftar jdi mitra driver gojek ya,positif
goride september jam nama ojol rohidin plat b eyy pesan goride triti lia depok anak les pas rumah jemput anak uang ongkos bayar rohidin tengah jalan titik tuju lia depok anak turun paksa rohidin langsung anak teriak teriak panggil rohidin gubris paksa anak pesan ojol mohon gojek backlist rohidin s,negatif
naik harga sesuai aplikasi,negatif
ok,positif
aplikasi bantu,positif
drivein ojek yg ramah nyaman,positif
mudah terimakasih,positif
good,positif
apk perbaikin fitur mapny lokasi jemput diarahin bikin orang dimarahin am gojek babi bikin telat ae,negatif
motor rumah gojek yg bantu,positif
ok,positif
memudahkn,positif
bantu butuh,positif
gojek mantaap,positif
good,negatif
bgus nyaman harga jangkau cepat,positif
good app,positif
tolong sistem aplikasi baik order cancel dg driverkarena driver batal cair close aplikasi aplikasi cair driver respon stlh dpt driver aplikasi maxim update sistemnyasistem canel order jg cair driverjika dapattidak respon driver ngumpul titik customer hak mengcanel order,negatif
keren yaa apk pakai pulang sekolah kalo apk nya tb eror paksa nunggu panas an sekolah nyebelin bgt,positif
alamakkk gofood minimal belanja potong ongkir naikin minimal ribu udah bagus minimal belanja ribu,positif
bantu,positif
nice,positif
ok mantul,positif
murah ramah amantepat,positif
layan bagus alhamdulillah ojolnya sopanbaik jaga etikatapi ojol yg aga sopan tolong timbang ojol sopan nya promonya tingkat,positif
gojek order gofood map lali bikin ya miss komunikasi abang udah kali dpt abang gofood yg kesel perkara nunggu menit menit unt menuggu,negatif
download aplikasi saran mending aplikasi grb lucu aplikasi gojek langgan kena ongkir grab free,negatif
cool,positif
layan cepat enak,positif
manfaat,positif
aplikasi gk,negatif
gojek keren,positif
bantu,positif
tolong kasih tau cs yg td infoin pesan gofood periksa pastiin resto nya cek ngirim templet gilir pesan ga ilang tolong kerja yg bener sen gofood kali nya ga wajar resto ga chat kmna ga batal tau batal toko tutup,negatif
bagus,positif
driver nya ramahenak aja ngobrol nya,positif
banyak driver nya kecewa,netral
apk ribet,negatif
sagat puas transaksi cepat no ribet,positif
tolong adakan hapus rekening numpuk beranta rekening aktif hubung udah tahun loh fitur aplikasi gojek perhati,negatif
sie aneh bgtmau beli paket pulsa sedia,negatif
suka cpt dpt order,positif
udah top up notifikasintransaksi masuktp muncul saldo gopay ka,negatif
good job,positif
gocar harap kasih edukasipencerahan gak niat mitra hemat mending gak jdi driver nunggu menit gak dateng gak lucu jemput masuk ongkos bilang biar langsung cancel diem gak jalan chat gak respot juara mitra kayak gtu,negatif
driver banyak sopan ramah,positif
gojek mantap,positif
aplikasi ojol pelit cekik ongkir beli mahal ongkos driver murah kalo orang order duit mana lu makan rakus lu ya kerja kagak modal bikin apk doang serakah org yg kerja lu yg nikmat hasil jahanam bgt lu makan duit yg hak lu hati ga berkah hidup lu developer kaya apa lu ga puas ga berkah karna lu makan dri duit org yg kerja keras lu santai nikmat hasil keringat orang,negatif
mayan,positif
yaelah suruh nunggu jam kesi loh kalo ad orang yg mesan malam minimarket minimal menit kek menit kek klo orang ngespam kirim login kek gimana yak emang yg buka jam alfamart indomaret suruh nunggu jam saran v tunggu nya,netral
akurasi apk maps nya tolong baik sesuai google maps nama jalan maps gojek sesuai nama asli jalan nya,negatif
pesan makan banget gara gara gojek doang ga dapet,negatif
aplikasi busuk susaah dapet driver taiiiii,negatif
memudahkansipp,positif
bantu,positif
tolong driver antar gofood perhati kali makan pesan nunggu driver antar,positif
ok mantap,positif
good,positif
guna,positif
driver yg alam sopan rute baik pokok the best gojek,positif
bantu,positif
gojek bobrok aplikasi,negatif
gw saran ga tau denger engga but gw bagus banget prevent order fiktif tambahin fitur auth angka kyk aplikasi si user pas sen dapet angka digunain autentikasi order driver sisi driver ngetikin angka user verifikasi gaperlu nama mes kode nya aja kalo kode ga valid sampe kali anggap order gagal,positif
senang pakai apk gojek,positif
x dikecewain gosend bisa salah kirim lancar jaya oleng si driver lebih aman banget udah coba gofood gomart goshop goride gocar top up tarik tunaipake aplikasi gopay ga,positif
drivernya lambat ngejemput customer nunggu menit menit gada hasilnua,negatif
ok,positif
g pke go food error tulis rame yg make,negatif
pokok best,positif
langgan bayar tarif ribu tp yg terima driver ribu biadab,negatif
konsumen order instan jadi multiinstan alhirnya tunggu karna gojek nya nyari biar jalan,negatif
terima kasih gojek,positif
oke susah daptar nyasudah puluh kalidi upload beres,netral
hapus aja aplikasi lu gojek,negatif
gojek bayak promo,positif
promonya dikit niyyy,positif
mantul,positif
gabisa beli pulsa ya,positif
topup status hasil duit ga masuk hubung susah dasar maling,negatif
integrasi hilir layan domestik internasional,positif
joooosss,positif
tanggal september jam suprmarkt superindo pdk lebak bulus jakarta selatan tolong manajemen gojek indonesia ajar sopan santun mitra driver motor nya supermarket pdk lebak bulus motor driver kondisi jalan raya ramai motor belah kiri jalan belok kanan arah komplek adhiyaksa lebak bulus klakson mobil klaksonin dikatain monyet driver gojek,negatif
tarik,positif
bagus banget driver nya pol,positif
sippp dehhh,positif
mantap,positif
gojek bantu gojek respon moga depan terimakasih,positif
tumben sy dpet gojek yg ga adabjdi sy sen gojek gojek yg sy pesan tdk responchat sydn posisi gojek ga gerak sy cancel dn sy anter anakbgtu mo brangkt gojek dateng bentak syknpa dicancel tetep ngamuk dng kalimat yg ga jlas klo posisi gojek gerak ato ga chat sy blng tunggu psti sy tungguini udh mo hujan sy butuh cepat sy ga ketemu gojek yg model gin asli kasar bngt,netral
ongkos,negatif
mantap kasih driver yg dekat,positif
intimidasi driver gojek bilang rumah kerja akun bilang lapor kena sanksi kirim lapor kali info driver alas sanksi customer salah perempuan aman rencana tutup akun gojek selesai tks,negatif
okok,positif
udah mesan go food pesan udah status siap resto udah tunggu jam ee cancel gojek nya asam kumat aja,negatif
gojek emang hebat,positif
ngebug login gabisa payahh,negatif
mudah,positif
makan nya layak makan kdang dana kembali kandang dana kembali heran klo ad stok yg jual kirim batalin aja rugi kecewa beli,negatif
mantap,positif
drivernya maling duit jir,negatif
promo,positif
salah moda transportasi andal kota malang jatim,positif
gojek aplikasi klau kasih paylatter yg konsisten lahsaya dah pakai aplikasitiba kena review pay latter nyapdhal brusaha slalu lancar bayarkmrin paylatter nyapas pakai blokir lagisaran klau dah kga kasih paylatter hapus ajdan kga usa kasih lagisaya mas pay latter nya kokjgn bikin bete pelang,negatif
